                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0235,                 4.4291,                 4.2278,                      0,                      0,                      0,                      0,                 1.2575,                 66.141,                0.73091,                0.00015,                0.00015,                0.00015
                      2,                 3.7042,                 4.2758,                 4.1657,                      0,                      0,                      0,                      0,                 1.2417,                 66.141,                0.72228,             0.00029703,             0.00029703,             0.00029703
                      3,                 3.6567,                 4.2011,                 4.0878,                      0,                      0,                      0,                      0,                 1.2019,                 66.102,                0.69936,             0.00042798,             0.00042798,             0.00042798
                      4,                 3.4476,                  3.919,                   3.98,                      0,                      0,                      0,                      0,                 1.1099,                  66.07,                0.64848,             0.00054283,             0.00054283,             0.00054283
                      5,                 3.3985,                  3.911,                 3.7954,                      0,                      0,                      0,                      0,                0.83858,                 65.086,                 0.4972,              0.0006416,              0.0006416,              0.0006416
                      6,                   3.29,                 3.5718,                 3.5483,                      0,                      0,                      0,                      0,                0.32596,                 63.273,                 0.2036,             0.00072428,             0.00072428,             0.00072428
                      7,                 3.2599,                 3.3918,                 3.3931,                      0,                      0,                      0,                      0,                0.14253,                 69.969,                0.09298,             0.00079088,             0.00079088,             0.00079088
                      8,                 3.2346,                 3.3053,                 3.0317,                      0,                      0,                      0,                      0,                 0.2264,                 62.656,                0.14535,             0.00081688,             0.00081688,             0.00081688
                      9,                 3.0358,                 3.1572,                 2.9565,                      0,                      0,                      0,                      0,                0.39629,                 41.355,                0.24985,             0.00081688,             0.00081688,             0.00081688
                     10,                   3.15,                 3.0943,                 2.8151,                      0,                      0,                      0,                      0,                0.35437,                  50.82,                0.22148,               0.000755,               0.000755,               0.000755
