                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5574,                 10.809,                 3.0726,                      0,                      0,                      0,                      0,                  5.969,                 8.0227,                 4.2142,             0.00065873,             0.00065873,             0.00065873
                      2,                 3.8002,                 8.8066,                  3.182,                      0,                      0,                      0,                      0,                 6.0534,                 6.2446,                 4.3598,              0.0013123,              0.0013123,              0.0013123
                      3,                 4.1499,                 7.1096,                 3.4552,                0.00076,                0.04167,                 0.0004,                  8e-05,                 4.1733,                 7.1062,                 3.5364,              0.0019526,              0.0019526,              0.0019526
                      4,                 4.0795,                 7.1448,                  2.936,                0.00133,                0.08333,                0.00094,                0.00041,                 4.4376,                  4.408,                 3.0366,              0.0019406,              0.0019406,              0.0019406
                      5,                 4.1447,                  6.155,                 2.8099,                0.00067,                0.04167,                0.00052,                  5e-05,                 4.5599,                 4.5605,                 2.8865,              0.0019406,              0.0019406,              0.0019406
                      6,                 4.4749,                 5.7368,                 2.8336,                0.00067,                0.04167,                0.00075,                0.00037,                 4.3224,                 4.2479,                 3.4494,              0.0019208,              0.0019208,              0.0019208
                      7,                 4.1923,                  5.541,                 2.8603,                0.00267,                0.16667,                0.00207,                0.00049,                 3.7158,                 4.0296,                 2.9272,               0.001901,               0.001901,               0.001901
                      8,                 4.0495,                 5.3868,                 2.5806,                  0.002,                  0.125,                0.00398,                0.00131,                 3.8622,                 3.8627,                 2.7522,              0.0018812,              0.0018812,              0.0018812
                      9,                 3.9642,                 5.0378,                 2.5896,                0.00267,                0.16667,                 0.0041,                0.00074,                 3.9502,                 3.7756,                 2.7901,              0.0018614,              0.0018614,              0.0018614
                     10,                 3.9599,                  5.112,                 2.6227,                0.00333,                0.20833,                0.00246,                0.00054,                 3.6147,                  3.856,                 2.7253,              0.0018416,              0.0018416,              0.0018416
                     11,                 3.8833,                 4.8812,                 2.4816,                0.00267,                0.16667,                0.00311,                 0.0009,                 3.8131,                 3.6843,                 2.3065,              0.0018218,              0.0018218,              0.0018218
                     12,                 3.9019,                 4.7651,                 2.4195,                0.00133,                0.08333,                0.00145,                0.00065,                 4.1832,                 3.9122,                 2.6399,               0.001802,               0.001802,               0.001802
                     13,                  3.988,                 4.7563,                 2.5335,                0.01587,                0.04167,                0.00458,                 0.0007,                 3.8438,                 3.8668,                 2.8057,              0.0017822,              0.0017822,              0.0017822
                     14,                 3.9346,                 4.4014,                  2.494,                0.00533,                0.33333,                0.00631,                 0.0015,                 3.4174,                 3.6244,                 2.5464,              0.0017624,              0.0017624,              0.0017624
                     15,                 3.7223,                 4.4157,                 2.4328,                0.00467,                0.29167,                0.00556,                0.00144,                 3.2293,                 3.5983,                 2.4565,              0.0017426,              0.0017426,              0.0017426
                     16,                 3.6839,                 4.5129,                 2.1123,                  0.004,                   0.25,                0.00371,                0.00109,                 3.6419,                 3.4458,                 2.3915,              0.0017228,              0.0017228,              0.0017228
                     17,                 3.7447,                 4.2704,                 2.5195,                0.00333,                0.20833,                0.00355,                 0.0006,                 3.6408,                 3.6639,                 2.2416,               0.001703,               0.001703,               0.001703
                     18,                 3.7839,                 4.1805,                 2.4442,                  0.006,                  0.375,                0.00695,                0.00237,                 3.1555,                 5.4806,                 2.5122,              0.0016832,              0.0016832,              0.0016832
                     19,                 3.8874,                 4.0801,                 2.5982,                  0.006,                  0.375,                0.00932,                0.00374,                 3.1046,                 3.2798,                 2.2939,              0.0016634,              0.0016634,              0.0016634
                     20,                 3.6937,                 4.0901,                 2.2692,                  0.006,                  0.375,                0.02648,                 0.0047,                 3.4142,                 3.1484,                 2.0383,              0.0016436,              0.0016436,              0.0016436
                     21,                 3.8071,                  3.929,                  2.347,                0.00665,                  0.375,                0.02789,                0.00688,                 3.2354,                 3.2104,                 1.9377,              0.0016238,              0.0016238,              0.0016238
                     22,                 3.7573,                 3.9749,                 2.3035,                  0.004,                   0.25,                 0.0079,                0.00377,                 3.3477,                 3.1433,                 1.8924,               0.001604,               0.001604,               0.001604
                     23,                  3.738,                 3.9034,                 2.3308,                0.00467,                0.29167,                0.00798,                0.00318,                 3.4146,                  3.395,                  2.053,              0.0015842,              0.0015842,              0.0015842
                     24,                 3.7742,                 3.9003,                 2.3238,                0.00667,                0.41667,                0.01678,                 0.0045,                 3.3799,                 3.2889,                 2.0684,              0.0015644,              0.0015644,              0.0015644
                     25,                 3.7674,                 3.8991,                 2.2346,                0.00733,                0.45833,                0.02396,                0.00796,                 3.0026,                 3.0038,                  2.062,              0.0015446,              0.0015446,              0.0015446
                     26,                 3.7751,                 3.9797,                  2.364,                0.01572,                0.45833,                0.03323,                 0.0081,                 3.0928,                 2.9967,                  2.071,              0.0015248,              0.0015248,              0.0015248
                     27,                 3.4893,                 3.8367,                 2.1387,                  0.008,                    0.5,                0.03215,                0.00915,                 3.0473,                 2.9255,                  1.962,               0.001505,               0.001505,               0.001505
                     28,                 3.5936,                 3.7441,                 2.2611,                0.00917,                    0.5,                0.05145,                0.01692,                  2.894,                 2.9109,                 1.9098,              0.0014852,              0.0014852,              0.0014852
                     29,                 3.4787,                  3.579,                 2.1377,                0.00911,                0.54167,                0.05515,                0.01574,                 2.8931,                 2.9363,                 1.9642,              0.0014654,              0.0014654,              0.0014654
                     30,                 3.4465,                 3.6583,                 2.1423,                0.00867,                0.54167,                0.06308,                 0.0207,                 2.8927,                 2.8954,                 1.8964,              0.0014456,              0.0014456,              0.0014456
                     31,                 3.6207,                 3.6473,                 2.1917,                0.00867,                0.54167,                0.10914,                0.02487,                 2.8589,                 2.9668,                 1.8867,              0.0014258,              0.0014258,              0.0014258
                     32,                 3.6211,                 3.7014,                 2.1175,                0.04954,                  0.375,                0.14929,                0.03664,                 2.9258,                  2.884,                 1.8661,               0.001406,               0.001406,               0.001406
                     33,                 3.4966,                 3.6485,                 2.1067,                0.31471,                0.08333,                0.11177,                0.03975,                 2.8806,                 2.8098,                 1.8945,              0.0013862,              0.0013862,              0.0013862
                     34,                 3.4061,                 3.5292,                 2.0092,                0.15101,                0.08333,                0.10485,                0.02513,                 2.6201,                 2.8489,                 1.9559,              0.0013664,              0.0013664,              0.0013664
                     35,                 3.4466,                 3.6296,                 2.2034,                0.25366,                0.08333,                0.13253,                 0.0391,                 2.7423,                 2.6873,                 1.9907,              0.0013466,              0.0013466,              0.0013466
                     36,                 3.5193,                 3.5111,                 2.1907,                0.23591,                0.16667,                 0.1065,                0.04371,                 2.7863,                 2.6783,                 1.7987,              0.0013268,              0.0013268,              0.0013268
                     37,                 3.4983,                 3.5682,                 2.2606,                0.21517,                  0.125,                0.10961,                0.05301,                 3.0142,                 2.6363,                 1.9287,               0.001307,               0.001307,               0.001307
