                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5777,                 10.808,                  3.083,                      0,                      0,                      0,                      0,                 5.9668,                 8.0067,                 4.2108,             0.00065873,             0.00065873,             0.00065873
                      2,                 3.8015,                 9.0132,                 3.2348,                      0,                      0,                      0,                      0,                 6.0341,                 6.1936,                 4.3237,              0.0013241,              0.0013241,              0.0013241
                      3,                 4.0887,                 7.2664,                 3.5121,                      0,                      0,                      0,                      0,                 4.4447,                 31.535,                 4.5197,              0.0019881,              0.0019881,              0.0019881
                      4,                  3.929,                 7.2829,                 3.0038,                0.00133,                0.08333,                0.00073,                0.00022,                 4.1717,                 4.3276,                 3.1347,              0.0019941,              0.0019941,              0.0019941
                      5,                 4.1125,                 6.2735,                 2.8907,                0.00133,                0.08333,                0.00092,                0.00032,                 4.3121,                 4.6404,                  3.008,              0.0019941,              0.0019941,              0.0019941
                      6,                 4.4937,                 5.8856,                 2.9166,                0.00133,                0.08333,                  0.001,                0.00014,                  4.368,                 4.4017,                 2.9836,              0.0019921,              0.0019921,              0.0019921
                      7,                 4.3342,                 5.5006,                 2.8888,                0.00067,                0.04167,                0.00039,                0.00011,                 4.1498,                 4.4509,                 3.1815,              0.0019901,              0.0019901,              0.0019901
                      8,                 3.9771,                 5.2072,                 2.5764,                0.00067,                0.04167,                0.00114,                0.00034,                 4.1125,                 4.1534,                 2.7902,              0.0019881,              0.0019881,              0.0019881
                      9,                 4.0075,                 5.2149,                 2.6128,                0.00067,                0.04167,                0.00114,                0.00034,                 4.6849,                 4.6417,                 3.9327,              0.0019861,              0.0019861,              0.0019861
                     10,                 3.8505,                 5.0161,                  2.605,                0.00135,                0.08333,                0.00082,                0.00049,                 4.0532,                  3.859,                 2.6528,              0.0019842,              0.0019842,              0.0019842
                     11,                 3.8611,                 4.7886,                 2.5397,                 0.0014,                0.08333,                 0.0009,                0.00044,                 3.7792,                 3.7823,                 2.4949,              0.0019822,              0.0019822,              0.0019822
                     12,                  3.919,                 4.7606,                 2.4888,                0.00333,                0.20833,                0.00308,                 0.0007,                 3.9653,                 3.8452,                 2.3864,              0.0019802,              0.0019802,              0.0019802
                     13,                 3.9059,                 4.6766,                 2.5186,                0.00533,                0.33333,                0.00631,                0.00144,                 3.6489,                 3.6109,                 2.4253,              0.0019782,              0.0019782,              0.0019782
                     14,                 3.8654,                 4.2242,                 2.4465,                0.00533,                0.33333,                 0.0628,                0.00817,                 3.4323,                  3.408,                 2.4118,              0.0019762,              0.0019762,              0.0019762
                     15,                 3.6974,                 4.3438,                 2.5044,                0.00533,                0.33333,                0.01465,                0.00184,                 3.7343,                 3.6058,                 2.6609,              0.0019743,              0.0019743,              0.0019743
                     16,                 3.6573,                 4.3891,                 2.1474,                0.00667,                0.41667,                0.00943,                0.00209,                 3.5258,                 3.3518,                 2.1498,              0.0019723,              0.0019723,              0.0019723
                     17,                 3.7061,                 4.1417,                 2.5638,                0.00483,                0.29167,                0.00702,                 0.0019,                 3.2779,                 3.5322,                 2.1508,              0.0019703,              0.0019703,              0.0019703
                     18,                 3.8425,                 4.1677,                 2.4446,                0.00533,                0.33333,                0.00853,                0.00266,                 3.0735,                 3.4352,                 2.2653,              0.0019683,              0.0019683,              0.0019683
                     19,                 3.7269,                 3.9835,                 2.5248,                0.00467,                0.29167,                0.01899,                0.00981,                  3.265,                 3.3397,                 2.4228,              0.0019663,              0.0019663,              0.0019663
                     20,                  3.666,                 3.9815,                 2.2169,                  0.006,                  0.375,                0.01892,                0.00579,                 3.1996,                 3.1131,                 1.9348,              0.0019644,              0.0019644,              0.0019644
                     21,                 3.6711,                 3.7673,                 2.3174,                  0.008,                    0.5,                0.04654,                0.01407,                 2.7073,                 2.9973,                 1.8953,              0.0019624,              0.0019624,              0.0019624
                     22,                 3.7012,                 3.8329,                 2.3337,                  0.008,                    0.5,                0.13707,                0.03368,                 2.8564,                 2.8673,                 2.0044,              0.0019604,              0.0019604,              0.0019604
                     23,                 3.5952,                 3.8104,                 2.3609,                 0.5889,                  0.125,                0.14193,                0.05826,                 2.7191,                 2.6644,                 1.8727,              0.0019584,              0.0019584,              0.0019584
                     24,                  3.722,                 3.7364,                 2.2923,                0.55997,                  0.125,                0.14852,                0.06264,                 2.7933,                  2.762,                 1.8626,              0.0019564,              0.0019564,              0.0019564
                     25,                 3.6058,                 3.6813,                 2.2087,                0.38254,                0.16667,                0.16455,                0.06112,                 3.0332,                 2.7815,                 2.1805,              0.0019545,              0.0019545,              0.0019545
                     26,                 3.6982,                 3.7972,                 2.3691,                0.39829,                0.16667,                0.13629,                0.04568,                 2.7065,                  2.783,                 2.0823,              0.0019525,              0.0019525,              0.0019525
                     27,                  3.437,                 3.5792,                 2.1998,                0.18844,                0.16667,                0.13503,                0.05085,                 2.9012,                 2.7929,                 2.1313,              0.0019505,              0.0019505,              0.0019505
                     28,                 3.4126,                 3.5021,                 2.2236,                0.28118,                0.16667,                0.12043,                0.04015,                 2.9233,                 2.5552,                 2.0737,              0.0019485,              0.0019485,              0.0019485
                     29,                 3.2866,                  3.314,                 2.1313,                0.27799,                  0.125,                0.13098,                0.05406,                 2.7147,                 2.4739,                 2.0079,              0.0019465,              0.0019465,              0.0019465
                     30,                 3.3013,                 3.5436,                  2.112,                0.30912,                0.13097,                0.12421,                 0.0549,                 2.6593,                 2.4092,                 1.9302,              0.0019446,              0.0019446,              0.0019446
                     31,                 3.4723,                 3.4303,                 2.1477,                 0.5125,                  0.125,                0.14876,                0.05387,                 2.6002,                 2.4827,                 1.8195,              0.0019426,              0.0019426,              0.0019426
                     32,                  3.468,                 3.4906,                 2.0379,                0.29609,                0.16667,                0.15736,                 0.0542,                 2.5801,                 2.3825,                 1.7377,              0.0019406,              0.0019406,              0.0019406
                     33,                 3.4339,                 3.4124,                 2.0504,                0.05742,                0.20833,                0.14698,                  0.059,                 2.6073,                 2.4313,                 1.6598,              0.0019386,              0.0019386,              0.0019386
                     34,                 3.2541,                 3.2658,                 1.9356,                0.03226,                0.45833,                0.18337,                0.06023,                 2.8873,                 2.4897,                 1.7821,              0.0019366,              0.0019366,              0.0019366
                     35,                 3.3079,                 3.3394,                 2.0729,                0.16375,                0.20833,                0.19842,                0.06666,                 2.8381,                  2.432,                 1.7999,              0.0019347,              0.0019347,              0.0019347
                     36,                  3.404,                 3.3035,                 2.1444,                0.28753,                   0.25,                0.21996,                  0.086,                 2.4817,                 2.4106,                 1.7999,              0.0019327,              0.0019327,              0.0019327
                     37,                 3.4176,                 3.2451,                 2.2506,                0.45883,                0.20833,                0.23113,                0.08823,                   2.46,                  2.433,                 1.7387,              0.0019307,              0.0019307,              0.0019307
                     38,                 3.4546,                 3.4111,                 2.1477,                0.33055,                0.20833,                0.21246,                0.06065,                 2.6503,                 2.3681,                 1.7658,              0.0019287,              0.0019287,              0.0019287
                     39,                 3.1817,                 3.2587,                 2.0602,                0.07739,                0.29167,                0.04894,                0.01747,                 2.9408,                 2.8075,                 1.8497,              0.0019267,              0.0019267,              0.0019267
                     40,                  3.288,                 3.2416,                 2.0226,                0.01669,                  0.625,                0.09763,                0.03317,                 2.7481,                 2.8925,                 1.8725,              0.0019248,              0.0019248,              0.0019248
                     41,                 3.3274,                 3.3538,                 2.0296,                0.09917,                0.45833,                0.13012,                0.04817,                 2.5723,                 2.6088,                 1.7344,              0.0019228,              0.0019228,              0.0019228
                     42,                 3.3876,                 3.2182,                 2.0841,                0.41072,                   0.25,                0.24338,                0.07154,                 2.2713,                 2.6244,                 1.6838,              0.0019208,              0.0019208,              0.0019208
                     43,                 3.3398,                 3.1277,                 2.0223,                0.36079,                   0.25,                 0.2356,                0.09825,                  2.498,                 2.2816,                 1.6982,              0.0019188,              0.0019188,              0.0019188
                     44,                 3.2294,                 3.1408,                 1.9973,                0.38545,                0.20833,                0.21834,                0.08035,                 2.6312,                 2.3472,                 1.7376,              0.0019168,              0.0019168,              0.0019168
                     45,                 3.2851,                 3.2625,                 2.0512,                 0.3845,                   0.25,                 0.2697,                0.09624,                 2.5493,                   2.47,                  1.748,              0.0019149,              0.0019149,              0.0019149
                     46,                 3.3274,                 3.2087,                 2.0524,                0.04853,                    0.5,                0.25827,                0.11365,                 2.3871,                 2.4621,                 1.6568,              0.0019129,              0.0019129,              0.0019129
                     47,                 3.2189,                 3.2477,                 2.0667,                0.01687,                  0.625,                0.19847,                0.10369,                 2.4492,                 2.6171,                 1.6775,              0.0019109,              0.0019109,              0.0019109
                     48,                  3.255,                  3.248,                 2.0406,                 0.0936,                0.29167,                0.20754,                0.07666,                 2.5906,                 2.6192,                 1.7245,              0.0019089,              0.0019089,              0.0019089
                     49,                 3.2177,                  3.199,                   1.95,                0.37097,                0.20833,                0.22916,                0.10425,                 2.3201,                  2.467,                 1.6486,              0.0019069,              0.0019069,              0.0019069
                     50,                 3.2924,                 3.2265,                 2.0739,                0.28258,                0.20833,                0.18785,                0.04732,                 2.9788,                 2.5134,                 1.9092,               0.001905,               0.001905,               0.001905
                     51,                 3.3397,                 3.2444,                 2.0655,                 0.3148,                0.20833,                0.14227,                0.03409,                 3.0381,                 2.6629,                 1.9445,               0.001903,               0.001903,               0.001903
                     52,                 3.2705,                 3.1674,                 2.0524,                0.39898,                0.20833,                0.21243,                0.09923,                 2.3298,                 2.3662,                 1.6936,               0.001901,               0.001901,               0.001901
                     53,                 3.0565,                 3.2207,                 1.9108,                0.33476,                   0.25,                0.15751,                0.07105,                 2.3319,                 2.4546,                  1.709,               0.001899,               0.001899,               0.001899
                     54,                 3.1976,                 3.0675,                 1.9719,                0.43546,                   0.25,                0.22748,                0.10298,                  2.371,                 2.5053,                 1.7343,               0.001897,               0.001897,               0.001897
                     55,                 3.2584,                 3.0996,                 1.9032,                0.27811,                  0.125,                0.14192,                0.05275,                 2.6961,                 2.8177,                 1.7824,              0.0018951,              0.0018951,              0.0018951
                     56,                 3.0965,                 3.1372,                 1.8409,                0.29144,                   0.25,                0.20472,                0.07621,                 2.4207,                  2.319,                 1.6702,              0.0018931,              0.0018931,              0.0018931
